Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,End Date,Usage/Quantity,Usage Units,Cost ($)
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2005-04-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2005-05-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2005-06-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2005-07-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2005-08-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2005-09-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2005-10-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2005-11-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2005-12-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2006-01-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2006-02-28 00:00:00,62545.26,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2006-03-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2006-04-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2006-05-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2006-06-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2006-07-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2006-08-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2006-09-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2006-10-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2006-11-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2006-12-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2007-01-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2007-02-28 00:00:00,62545.26,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2007-03-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2007-04-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2007-05-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2007-06-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2007-07-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2007-08-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2007-09-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2007-10-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2007-11-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2007-12-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2008-01-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2008-02-29 00:00:00,64779.02,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2008-03-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2008-04-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2008-05-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2008-06-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2008-07-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2008-08-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2008-09-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2008-10-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2008-11-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2008-12-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2009-01-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2009-02-28 00:00:00,62545.26,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2009-03-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2009-04-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2009-05-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2009-06-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2009-07-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2009-08-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2009-09-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2009-10-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2009-11-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2009-12-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2010-01-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2010-02-28 00:00:00,62545.26,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2010-03-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2010-04-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2010-05-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2010-06-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2010-07-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2010-08-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2010-09-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2010-10-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2010-11-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2010-12-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2011-01-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2011-02-28 00:00:00,62545.26,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2011-03-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2011-04-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2011-05-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2011-06-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2011-07-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2011-08-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2011-09-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2011-10-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2011-11-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2011-12-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2012-01-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2012-02-29 00:00:00,64779.02,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2012-03-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2012-04-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2012-05-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2012-06-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2012-07-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2012-08-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2012-09-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2012-10-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2012-11-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2012-12-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2013-01-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2013-02-28 00:00:00,62545.26,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2013-03-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2013-04-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2013-05-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2013-06-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2013-07-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2013-08-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2013-09-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2013-10-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2013-11-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2013-12-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2014-01-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2014-02-28 00:00:00,62545.26,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2014-03-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2014-04-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2014-05-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2014-06-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2014-07-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2014-08-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2014-09-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2014-10-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2014-11-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2014-12-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2015-01-31 00:00:00,69246.53,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2015-02-28 00:00:00,62545.26,kWh (thousand Watt-hours),0.0
2630199,6026497,Uninterruptible Power Supply (UPS) Output Meter,2015-03-30 00:00:00,67012.77,kWh (thousand Watt-hours),0.0
